id;region;unit;annee;pop_value;nb_str;couv_san;norm_oms;ajouter;pred
126;Kaffrine;;2025;867458,16;2;270389;4;2;867458.1600238001
127;Kaffrine;;2026;883019,0692;2;252410;4;2;883019.0691728
128;Kaffrine;;2027;897162,5053;2;231461;4;2;897162.5052658
129;Kaffrine;;2028;909463,1961;2;208325;3;1;909463.1961498001
130;Kaffrine;;2029;919480,5399;2;182887;3;1;919480.5399184001
131;Kaffrine;;2030;926863,7967;2;152397;3;1;926863.7966516
132;Kaolack;;2020;;2;564094;6;4;
133;Kaolack;;2021;;2;564506;6;4;
134;Kaolack;;2022;;2;565057;6;4;
135;Kaolack;;2023;;2;565633;6;4;
136;Kaolack;;2024;;2;566018;6;4;
137;Kaolack;;2025;;2;566056;6;4;$l
138;Kaolack;;2026;;2;565810;6;4;1339644.7573817
139;Kaolack;;2027;;2;563452;6;4;1349614.092248
140;Kaolack;;2028;;2;559763;6;4;1355553.2186645
141;Kaolack;;2029;;2;554861;6;4;1356672.5738867
142;Kaolack;;2030;;2;547321;6;4;1352619.8126033
34;Kédougou;;2020;;1;79995;2;1;
35;Kédougou;;2021;;1;77867;2;1;
36;Kédougou;;2022;;1;75388;2;1;
37;Kédougou;;2023;;1;72025;1;0;
38;Kédougou;;2024;;1;67186;1;0;
39;Kédougou;;2025;;1;69639;1;0;217571.2159204
40;Kédougou;;2026;;1;72307;1;0;220356.33374499998
41;Kédougou;;2027;;1;75204;2;1;222657.51465099998
42;Kédougou;;2028;;1;78311;2;1;224310.653326
43;Kédougou;;2029;;1;81358;2;1;225174.440077
44;Kédougou;;2030;;2;84490;3;1;225172.24702059999
143;Kolda;;2020;;2;929735;8;6;
144;Kolda;;2021;;2;933491;8;6;
145;Kolda;;2022;;2;936827;8;6;
146;Kolda;;2023;;2;940082;8;6;
147;Kolda;;2024;;2;942440;8;6;
148;Kolda;;2025;;2;943319;8;6;952941.49651138
149;Kolda;;2026;;2;941135;8;6;967353.1184851
150;Kolda;;2027;;2;935461;8;6;980156.0128324
151;Kolda;;2028;;2;927396;8;6;990866.8390525
152;Kolda;;2029;;2;916870;8;6;999038.5058269
153;Kolda;;2030;;2;903266;8;6;1004330.2660234
45;Louga;;2020;;3;525147;7;4;
46;Louga;;2021;;3;523973;6;3;
47;Louga;;2022;;3;521503;6;3;
48;Louga;;2023;;3;517198;6;3;
49;Louga;;2024;;3;523096;6;3;
50;Louga;;2025;;3;529009;7;4;1178106.1207007
51;Louga;;2026;;4;534828;8;4;1189817.27039462
52;Louga;;2027;;4;540242;8;4;1199232.7678076
53;Louga;;2028;;4;545537;8;4;1205668.1418107
54;Louga;;2029;;4;550169;8;4;1208560.9723574
55;Louga;;2030;;4;554780;8;4;1207648.2334396099
56;Matam;;2020;;2;111410;3;1;
57;Matam;;2021;;2;110713;3;1;
58;Matam;;2022;;3;109609;4;1;
59;Matam;;2023;;3;108106;4;1;
60;Matam;;2024;;3;106262;4;1;
61;Matam;;2025;;3;104057;4;1;854791.9963925
62;Matam;;2026;;3;100866;4;1;867632.17124
63;Matam;;2027;;3;101324;4;1;878511.910825
64;Matam;;2028;;3;101714;4;1;886808.7375774999
65;Matam;;2029;;4;101950;5;1;892027.6984675
66;Matam;;2030;;4;102088;5;1;893859.08195
67;Saint-Louis;;2020;;4;320939;6;2;
68;Saint-Louis;;2021;;4;316914;6;2;
69;Saint-Louis;;2022;;4;311185;6;2;
70;Saint-Louis;;2023;;4;312180;6;2;
71;Saint-Louis;;2024;;4;313137;6;2;
72;Saint-Louis;;2025;;4;313905;6;2;1240709.64341792
73;Saint-Louis;;2026;;5;314499;7;2;1257368.0196704
74;Saint-Louis;;2027;;5;314712;7;2;1272437.0296304
75;Saint-Louis;;2028;;5;314685;7;2;1285511.7376832
76;Saint-Louis;;2029;;5;314392;7;2;1296188.1274928
77;Saint-Louis;;2030;;5;313774;7;2;1304160.1391984
78;Sédhiou;;2020;;1;371729;3;2;
79;Sédhiou;;2021;;1;384247;4;3;
80;Sédhiou;;2022;;1;399283;4;3;
81;Sédhiou;;2023;;1;398466;4;3;
82;Sédhiou;;2024;;1;396719;4;3;
83;Sédhiou;;2025;;1;394266;4;3;655775.4277282
84;Sédhiou;;2026;;1;391463;4;3;664416.4682448
85;Sédhiou;;2027;;1;387086;4;3;671577.71744422
86;Sédhiou;;2028;;1;381661;4;3;676759.7262198
87;Sédhiou;;2029;;1;375135;4;3;679523.24131944
88;Sédhiou;;2030;;1;366378;3;2;679634.9539006
165;SENEGAL;;2020;;35;477978;38;3;
166;SENEGAL;;2021;;36;474754;39;3;
167;SENEGAL;;2022;;38;474467;41;3;
168;SENEGAL;;2023;;38;478920;41;3;
169;SENEGAL;;2024;;39;483399;42;3;
170;SENEGAL;;2025;;40;486438;43;3;
171;SENEGAL;;2026;;42;489240;45;3;
172;SENEGAL;;2027;;43;493232;46;3;
173;SENEGAL;;2028;;44;497055;47;3;
174;SENEGAL;;2029;;45;500335;48;3;
89;Tambacounda;;2020;;2;611826;6;4;
90;Tambacounda;;2021;;2;616619;6;4;
91;Tambacounda;;2022;;2;622388;6;4;
92;Tambacounda;;2023;;2;628089;6;4;
93;Tambacounda;;2024;;2;633355;6;4;
94;Tambacounda;;2025;;2;638159;6;4;1079039.8615618
95;Tambacounda;;2026;;2;642451;6;4;1103826.3167386
96;Tambacounda;;2027;;2;644560;6;4;1127583.9951058
97;Tambacounda;;2028;;2;645682;6;4;1149890.140054
98;Tambacounda;;2029;;2;645439;6;4;1170342.0223911998
99;Tambacounda;;2030;;2;642692;6;4;1188414.8583562
100;Thiès;;2020;;4;122503;5;1;
101;Thiès;;2021;;4;117154;5;1;
102;Thiès;;2022;;4;116148;5;1;
103;Thiès;;2023;;4;116814;5;1;
104;Thiès;;2024;;4;117380;5;1;
105;Thiès;;2025;;4;115737;5;1;2539956.0846198
106;Thiès;;2026;;4;113816;5;1;2585341.9808084
107;Thiès;;2027;;4;111399;5;1;2628904.8086004
108;Thiès;;2028;;4;108652;5;1;2670149.3577264003
109;Thiès;;2029;;4;105664;5;1;2708697.9197124005
110;Thiès;;2030;;4;102478;5;1;2743791.428906
111;Ziguinchor;;2020;;2;566249;6;4;
112;Ziguinchor;;2021;;2;552397;6;4;
113;Ziguinchor;;2022;;2;555176;6;4;
114;Ziguinchor;;2023;;2;557098;6;4;
115;Ziguinchor;;2024;;3;539888;7;4;
116;Ziguinchor;;2025;;3;520689;6;3;765537.9880288
117;Ziguinchor;;2026;;3;496235;6;3;773379.645448
118;Ziguinchor;;2027;;3;496486;6;3;779333.6258440001
119;Ziguinchor;;2028;;3;496435;6;3;782788.4677752
120;Ziguinchor;;2029;;3;495858;6;3;783237.479445
121;Ziguinchor;;2030;;3;495031;6;3;780465.495542
154;;;2020;;35;477978;38;3;
155;;;2021;;36;474754;39;3;
156;;;2022;;38;474467;41;3;
157;;;2023;;38;478920;41;3;
158;;;2024;;39;483399;42;3;
159;;;2025;;40;486438;43;3;
160;;;2026;;42;489240;45;3;
161;;;2027;;43;493232;46;3;
162;;;2028;;44;497055;47;3;
163;;;2029;;45;500335;48;3;
164;;;2030;;47;503426;50;3;
175;;;2030;;47;503426;50;3;
