id;indicateur;region;sexe;Unit;Date;Value
36;Nombre de la population;FATICK;Ensemble;personnes;2022;965918
37;Nombre de la population;FATICK;Ensemble;personnes;2023;1000679
38;Nombre de la population;FATICK;Ensemble;personnes;2024;1036947
39;Nombre de la population;FATICK;Ensemble;personnes;2025;1074749
40;Nombre de la population;KAFFRINE;Ensemble;personnes;2013;566992
41;Nombre de la population;KAFFRINE;Ensemble;personnes;2014;587946
42;Nombre de la population;KAFFRINE;Ensemble;personnes;2015;609643
43;Nombre de la population;KAFFRINE;Ensemble;personnes;2016;632025
44;Nombre de la population;KAFFRINE;Ensemble;personnes;2017;655119
45;Nombre de la population;KAFFRINE;Ensemble;personnes;2018;678955
46;Nombre de la population;KAFFRINE;Ensemble;personnes;2019;703560
47;Nombre de la population;KAFFRINE;Ensemble;personnes;2020;728951
48;Nombre de la population;KAFFRINE;Ensemble;personnes;2021;755172
49;Nombre de la population;KAFFRINE;Ensemble;personnes;2022;782273
50;Nombre de la population;KAFFRINE;Ensemble;personnes;2023;810308
51;Nombre de la population;KAFFRINE;Ensemble;personnes;2024;839311
52;Nombre de la population;KAFFRINE;Ensemble;personnes;2025;869354
53;Nombre de la population;KAOLACK;Ensemble;personnes;2013;960875
54;Nombre de la population;KAOLACK;Ensemble;personnes;2014;990748
55;Nombre de la population;KAOLACK;Ensemble;personnes;2015;1021657
56;Nombre de la population;KAOLACK;Ensemble;personnes;2016;1053543
57;Nombre de la population;KAOLACK;Ensemble;personnes;2017;1086454
58;Nombre de la population;KAOLACK;Ensemble;personnes;2018;1120402
59;Nombre de la population;KAOLACK;Ensemble;personnes;2019;1155433
60;Nombre de la population;KAOLACK;Ensemble;personnes;2020;1191577
61;Nombre de la population;KAOLACK;Ensemble;personnes;2021;1228746
62;Nombre de la population;KAOLACK;Ensemble;personnes;2022;1267018
63;Nombre de la population;KAOLACK;Ensemble;personnes;2023;1306311
64;Nombre de la population;KAOLACK;Ensemble;personnes;2024;1346613
65;Nombre de la population;KAOLACK;Ensemble;personnes;2025;1388012
66;Nombre de la population;KEDOUGOU;Ensemble;personnes;2013;151357
67;Nombre de la population;KEDOUGOU;Ensemble;personnes;2014;156352
68;Nombre de la population;KEDOUGOU;Ensemble;personnes;2015;161530
69;Nombre de la population;KEDOUGOU;Ensemble;personnes;2016;166902
70;Nombre de la population;KEDOUGOU;Ensemble;personnes;2017;172482
71;Nombre de la population;KEDOUGOU;Ensemble;personnes;2018;178272
72;Nombre de la population;KEDOUGOU;Ensemble;personnes;2019;184276
73;Nombre de la population;KEDOUGOU;Ensemble;personnes;2020;190509
74;Nombre de la population;KEDOUGOU;Ensemble;personnes;2021;196991
75;Nombre de la population;KEDOUGOU;Ensemble;personnes;2022;203719
76;Nombre de la population;KEDOUGOU;Ensemble;personnes;2023;210722
77;Nombre de la population;KEDOUGOU;Ensemble;personnes;2024;217991
78;Nombre de la population;KEDOUGOU;Ensemble;personnes;2025;225547
79;Nombre de la population;LOUGA;Ensemble;personnes;2013;874193
80;Nombre de la population;LOUGA;Ensemble;personnes;2014;898732
81;Nombre de la population;LOUGA;Ensemble;personnes;2015;924047
82;Nombre de la population;LOUGA;Ensemble;personnes;2016;950095
83;Nombre de la population;LOUGA;Ensemble;personnes;2017;976884
84;Nombre de la population;LOUGA;Ensemble;personnes;2018;1004398
85;Nombre de la population;LOUGA;Ensemble;personnes;2019;1032644
86;Nombre de la population;LOUGA;Ensemble;personnes;2020;1061612
87;Nombre de la population;LOUGA;Ensemble;personnes;2021;1091268
88;Nombre de la population;LOUGA;Ensemble;personnes;2022;1121618
89;Nombre de la population;LOUGA;Ensemble;personnes;2023;1152654
90;Nombre de la population;LOUGA;Ensemble;personnes;2024;1184351
91;Nombre de la population;LOUGA;Ensemble;personnes;2025;1216706
92;Nombre de la population;KOLDA;Ensemble;personnes;2013;662455
93;Nombre de la population;KOLDA;Ensemble;personnes;2014;682687
94;Nombre de la population;KOLDA;Ensemble;personnes;2015;703779
95;Nombre de la population;KOLDA;Ensemble;personnes;2016;725682
96;Nombre de la population;KOLDA;Ensemble;personnes;2017;748450
97;Nombre de la population;KOLDA;Ensemble;personnes;2018;772068
98;Nombre de la population;KOLDA;Ensemble;personnes;2019;796581
99;Nombre de la population;KOLDA;Ensemble;personnes;2020;822003
100;Nombre de la population;KOLDA;Ensemble;personnes;2021;848348
101;Nombre de la population;KOLDA;Ensemble;personnes;2022;875663
102;Nombre de la population;KOLDA;Ensemble;personnes;2023;903969
103;Nombre de la population;KOLDA;Ensemble;personnes;2024;933287
104;Nombre de la population;KOLDA;Ensemble;personnes;2025;963628
105;Nombre de la population;MATAM;Ensemble;personnes;2013;562539
106;Nombre de la population;MATAM;Ensemble;personnes;2014;584524
107;Nombre de la population;MATAM;Ensemble;personnes;2015;607231
108;Nombre de la population;MATAM;Ensemble;personnes;2016;630703
109;Nombre de la population;MATAM;Ensemble;personnes;2017;654982
110;Nombre de la population;MATAM;Ensemble;personnes;2018;680087
111;Nombre de la population;MATAM;Ensemble;personnes;2019;706042
112;Nombre de la population;MATAM;Ensemble;personnes;2020;732863
113;Nombre de la population;MATAM;Ensemble;personnes;2021;760588
114;Nombre de la population;MATAM;Ensemble;personnes;2022;789215
115;Nombre de la population;MATAM;Ensemble;personnes;2023;818775
116;Nombre de la population;MATAM;Ensemble;personnes;2024;849273
117;Nombre de la population;MATAM;Ensemble;personnes;2025;880714
118;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2013;908942
119;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2014;932876
120;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2015;957600
121;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2016;983022
122;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2017;1009164
123;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2018;1036003
124;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2019;1063539
125;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2020;1091735
126;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2021;1120585
127;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2022;1150065
128;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2023;1180143
129;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2024;1210806
130;Nombre de la population;SAINT-LOUIS;Ensemble;personnes;2025;1242014
131;Nombre de la population;SEDHIOU;Ensemble;personnes;2013;452994
132;Nombre de la population;SEDHIOU;Ensemble;personnes;2014;468098
133;Nombre de la population;SEDHIOU;Ensemble;personnes;2015;483768
134;Nombre de la population;SEDHIOU;Ensemble;personnes;2016;500061
135;Nombre de la population;SEDHIOU;Ensemble;personnes;2017;517012
136;Nombre de la population;SEDHIOU;Ensemble;personnes;2018;534646
137;Nombre de la population;SEDHIOU;Ensemble;personnes;2019;553006
138;Nombre de la population;SEDHIOU;Ensemble;personnes;2020;572101
139;Nombre de la population;SEDHIOU;Ensemble;personnes;2021;591970
140;Nombre de la population;SEDHIOU;Ensemble;personnes;2022;612650
141;Nombre de la population;SEDHIOU;Ensemble;personnes;2023;634177
142;Nombre de la population;SEDHIOU;Ensemble;personnes;2024;656562
143;Nombre de la population;SEDHIOU;Ensemble;personnes;2025;679840
144;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2013;681310
145;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2014;705396
146;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2015;730475
147;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2016;756591
148;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2017;783781
149;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2018;812075
150;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2019;841512
151;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2020;872155
152;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2021;904032
153;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2022;937183
154;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2023;971659
155;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2024;1007511
156;Nombre de la population;TAMBACOUNDA;Ensemble;personnes;2025;1044784
157;Nombre de la population;THIES;Ensemble;personnes;2013;1788864
158;Nombre de la population;THIES;Ensemble;personnes;2014;1838366
159;Nombre de la population;THIES;Ensemble;personnes;2015;1889320
160;Nombre de la population;THIES;Ensemble;personnes;2016;1941546
161;Nombre de la population;THIES;Ensemble;personnes;2017;1995030
162;Nombre de la population;THIES;Ensemble;personnes;2018;2049765
163;Nombre de la population;THIES;Ensemble;personnes;2019;2105711
164;Nombre de la population;THIES;Ensemble;personnes;2020;2162833
165;Nombre de la population;THIES;Ensemble;personnes;2021;2221097
166;Nombre de la population;THIES;Ensemble;personnes;2022;2280458
167;Nombre de la population;THIES;Ensemble;personnes;2023;2340869
168;Nombre de la population;THIES;Ensemble;personnes;2024;2402262
169;Nombre de la population;THIES;Ensemble;personnes;2025;2464550
170;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2013;549151
171;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2014;565940
172;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2015;583525
173;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2016;601929
174;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2017;621171
175;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2018;641253
176;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2019;662179
177;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2020;683955
178;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2021;706554
179;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2022;729949
180;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2023;754110
181;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2024;778985
182;Nombre de la population;ZIGUINCHOR;Ensemble;personnes;2025;804531
